emp_no,first_name,last_name,birth_date,from_date,to_date,titles
11873,Venkatesan,Reeken,1960-08-09,2000-07-06,1999-01-01,Staff
11928,Mang,Wroclawski,1959-09-01,2000-05-28,1999-01-01,Assistant Engineer
12043,Masaki,Lubachevsky,1952-12-11,2000-01-05,1999-01-01,Staff
12143,Zeljko,Denti,1956-04-25,2000-10-02,1999-01-01,Senior Engineer
12152,Amalendu,Nyrup,1964-01-18,2000-08-16,1999-01-01,Senior Staff
12170,Moie,Nannarelli,1961-10-06,2000-05-04,1999-01-01,Staff
12208,Bartek,Passino,1962-02-20,2000-08-24,1999-01-01,Senior Staff
12305,Marek,Ferriere,1959-02-24,2000-01-11,1999-01-01,Engineer
12343,Sorina,Slaats,1952-10-18,2000-09-03,1999-01-01,Staff
12420,Douadi,Rande,1957-11-26,2000-06-30,1999-01-01,Engineer
12438,Yongmao,Mondadori,1953-11-24,2000-03-20,1999-01-01,Staff
12505,Barton,Goldhammer,1952-08-24,2000-08-23,2002-02-18,Senior Staff
12577,Takushi,Schrift,1964-05-09,2000-10-13,1999-01-01,Engineer
12611,Guttorm,McAffer,1963-10-31,2000-01-07,1999-01-01,Staff
12721,Sajjan,Szilard,1954-03-04,2000-07-28,2000-12-19,Engineer
12729,Nahla,Rahier,1954-05-18,2000-09-10,1999-01-01,Senior Engineer
12739,Aral,Kading,1956-07-30,2000-10-02,1999-01-01,Senior Staff
12747,Salvador,Atrawala,1955-10-23,2000-02-04,1999-01-01,Technique Leader
12821,Arco,Gihr,1952-06-01,2000-02-07,1999-01-01,Engineer
13008,Jayesh,Zaumen,1955-12-23,2000-01-07,1999-01-01,Engineer
13013,Heekeun,Baak,1952-10-17,2000-01-22,1999-01-01,Engineer
13086,Dzung,Domenig,1953-06-10,2000-01-27,1999-01-01,Senior Staff
13160,Shigeo,Gomatam,1958-05-09,2000-04-10,1999-01-01,Engineer
13201,Tomofumi,Ranta,1961-12-15,2000-01-20,1999-01-01,Staff
13235,Taizo,Remmers,1955-03-09,2000-07-29,1999-01-01,Engineer
13239,Weiye,Gils,1960-04-07,2000-01-17,1999-01-01,Engineer
13247,Sreekrishna,Baby,1958-06-02,2000-01-21,1999-01-01,Assistant Engineer
13283,Unal,Liedekerke,1962-02-15,2000-12-19,1999-01-01,Engineer
13295,Leszek,Coombs,1959-01-13,2000-01-19,1999-01-01,Engineer
13365,Adly,Mandell,1956-05-13,2000-11-06,1999-01-01,Engineer
13557,Kwangsub,Eickenmeyer,1963-05-14,2000-11-06,1999-01-01,Engineer
13626,Subir,Rijckaert,1961-04-13,2000-01-09,2001-05-09,Engineer
13682,Margo,Vanwelkenhuysen,1959-12-03,2000-01-09,1999-01-01,Staff
13824,Jaroslava,Oppitz,1958-01-31,2000-01-05,1999-01-01,Engineer
13839,Waiman,Weedon,1957-11-25,2000-01-21,1999-01-01,Senior Engineer
13983,Sarita,Siepmann,1961-08-10,2000-01-12,1999-01-01,Staff
13996,Adib,Pews,1952-03-05,2000-03-24,2000-04-01,Staff
14062,Khalid,Luon,1964-12-16,2000-11-13,1999-01-01,Senior Engineer
14145,Mandell,Baranowski,1956-01-28,2000-01-13,1999-01-01,Engineer
14257,Kwok,Massonet,1952-05-07,2000-07-13,1999-01-01,Staff
14297,Honglan,Yeung,1963-08-22,2000-08-30,1999-01-01,Engineer
14313,Armond,Muntz,1963-11-17,2000-01-17,1999-01-01,Staff
14341,Giri,Kumaresan,1957-06-26,2000-12-05,1999-01-01,Engineer
14378,Lokesh,Poehlman,1961-05-27,2000-01-13,2000-03-14,Assistant Engineer
14615,Dinkar,Mitchem,1961-07-15,2000-05-27,2001-04-11,Senior Engineer
14719,Willard,Luga,1960-05-06,2000-05-30,1999-01-01,Engineer
14828,Christfried,Kropf,1955-09-27,2000-07-14,1999-01-01,Staff
14850,Shigehiro,Tchuente,1963-11-28,2000-01-08,1999-01-01,Staff
14889,Subhash,Solovay,1955-05-15,2000-03-20,2001-11-10,Staff
14916,Fumino,Narlikar,1957-05-25,2000-07-15,1999-01-01,Staff
14937,Duke,Angot,1961-02-17,2000-08-09,1999-01-01,Staff
14948,Arumugam,Lanzelotte,1958-10-03,2000-01-02,1999-01-01,Staff
14957,Turgut,Munke,1952-06-21,2000-01-18,2001-12-18,Staff
14979,Steen,Marletta,1961-03-28,2000-01-21,1999-01-01,Staff
15076,Makato,Shobatake,1958-06-25,2000-06-11,1999-01-01,Staff
15123,Xuejia,Menhoudj,1953-08-01,2000-09-03,1999-01-01,Assistant Engineer
15151,Urs,Pouyioutas,1953-11-13,2000-06-02,1999-01-01,Senior Staff
15242,Kasturi,Strehl,1956-02-09,2000-06-03,1999-01-01,Senior Staff
15262,Premsyl,Wursthorn,1957-09-15,2000-03-09,1999-01-01,Senior Staff
15293,Pantung,Puppo,1964-04-29,2000-08-09,1999-01-01,Technique Leader
15334,Luerbio,Kuzuoka,1953-11-24,2000-01-31,2001-10-22,Engineer
15356,Alair,Douceur,1955-12-12,2000-01-19,2002-04-18,Engineer
15439,Shuzo,Gide,1952-11-24,2000-05-24,2000-11-11,Engineer
15499,Tetsushi,Simkin,1958-08-17,2000-09-27,1999-01-01,Senior Staff
15515,Kwok,Ginesta,1960-06-15,2000-01-11,2001-01-22,Engineer
15527,Ronghao,Falck,1962-02-21,2000-02-15,2000-11-14,Engineer
15652,Tokuyasu,Sundgren,1960-04-25,2000-02-22,1999-01-01,Senior Staff
15698,Udo,Michaels,1959-07-16,2000-11-13,1999-01-01,Senior Staff
15789,Elgin,Veeraraghavan,1956-10-15,2000-01-30,1999-01-01,Staff
15801,Munir,Slaats,1960-10-02,2000-02-02,1999-01-01,Technique Leader
15885,Perla,Delgrossi,1955-09-19,2000-10-29,1999-01-01,Senior Engineer
15893,Hitofumi,Ducloy,1955-09-17,2000-01-08,2002-01-14,Technique Leader
15943,Yakkov,Demke,1953-12-31,2000-12-16,1999-01-01,Senior Engineer
16142,Berry,Porenta,1954-04-21,2000-02-18,1999-01-01,Senior Staff
16175,Amabile,Baik,1952-02-11,2000-01-26,1999-01-01,Staff
16178,Karsten,Marchegay,1962-09-19,2000-01-08,1999-01-01,Staff
16244,Parviz,Strandh,1961-09-16,2000-01-04,1999-01-01,Engineer
16301,Yurii,Molenkamp,1954-07-17,2000-01-13,1999-01-01,Senior Engineer
16399,Apostol,Collette,1954-06-04,2000-08-24,1999-01-01,Senior Staff
16428,Arun,Chinin,1964-09-05,2000-06-02,1999-01-01,Senior Staff
16447,Zhiguo,Savasere,1952-02-03,2000-11-06,1999-01-01,Engineer
16463,Fuqing,Denna,1952-10-08,2000-01-14,2002-02-03,Senior Staff
16497,Tzu,Lorin,1956-09-09,2000-01-06,1999-01-01,Staff
16502,Brigham,Honiden,1962-12-13,2000-03-05,2001-05-18,Staff
16547,Qunsheng,Ladret,1956-04-11,2000-01-06,2000-09-01,Assistant Engineer
16561,Zorica,Swan,1960-04-01,2000-09-11,1999-01-01,Engineer
16569,Henk,Cyre,1955-12-26,2000-10-21,1999-01-01,Senior Staff
16596,Valeri,Wrigley,1962-01-23,2000-02-05,1999-01-01,Staff
16629,Masaki,Papastamatiou,1953-04-13,2000-01-18,1999-01-01,Technique Leader
16663,Maja,Radhakrishnan,1963-09-20,2000-01-07,1999-01-01,Assistant Engineer
16689,Tamiya,Zuberek,1957-05-23,2000-01-13,2002-03-17,Engineer
16701,Yongqiao,Picht,1964-10-21,2000-01-17,1999-01-01,Staff
16743,Mario,Zweizig,1962-04-10,2000-01-24,1999-01-01,Technique Leader
16786,Irene,Candan,1955-11-23,2000-10-05,1999-01-01,Senior Staff
17040,Kazuhisa,Bhattacharjee,1954-04-04,2000-04-12,1999-01-01,Assistant Engineer
17092,Atreye,Lalonde,1954-03-29,2000-01-18,1999-01-01,Staff
17250,Tianruo,Molenkamp,1962-08-07,2000-12-27,2001-10-11,Staff
17369,Yaghout,Kenevan,1965-01-31,2000-09-15,1999-01-01,Engineer
17370,Mostafa,Michaeli,1952-06-08,2000-01-12,2002-02-01,Staff
17380,Giao,Lamma,1961-09-02,2000-09-23,1999-01-01,Engineer
17439,Aemilian,Basagni,1953-09-26,2000-10-18,1999-01-01,Engineer
17512,Frederique,Hofmeyr,1953-09-24,2000-10-27,1999-01-01,Engineer
17533,Xuejia,Perin,1964-11-25,2000-02-05,1999-01-01,Technique Leader
17551,Mark,Foote,1954-02-21,2000-08-27,1999-01-01,Engineer
17653,Qingxiang,Erva,1960-10-22,2000-02-15,1999-01-01,Staff
17683,Bernt,Henders,1954-06-04,2000-08-25,1999-01-01,Senior Staff
17801,Taegyun,Alvarado,1955-09-09,2000-01-15,2000-12-08,Staff
17981,Cordelia,Rande,1954-05-25,2000-05-09,1999-01-01,Staff
18015,Zhaofang,Munck,1960-07-16,2000-02-17,1999-01-01,Senior Staff
18057,Sushant,Krohn,1962-06-06,2000-01-27,1999-01-01,Engineer
18100,Danai,Brlek,1960-04-10,2000-10-25,1999-01-01,Engineer
18128,Muzhong,Polupanov,1962-01-24,2000-01-31,1999-01-01,Staff
18129,Taizo,Streng,1956-12-06,2000-09-22,1999-01-01,Engineer
18138,Moni,Baezner,1954-06-19,2000-03-10,1999-01-01,Senior Staff
18314,Arunas,Erol,1956-10-15,2000-04-23,2000-05-09,Staff
18332,Nidapan,Cichocki,1962-01-31,2000-12-04,2001-04-11,Staff
18379,Xuedong,Bail,1954-06-19,2000-02-05,1999-01-01,Senior Engineer
18418,Cheong,Vickson,1952-09-25,2000-10-30,1999-01-01,Engineer
18543,Bernice,Rosin,1958-03-03,2000-11-15,1999-01-01,Engineer
18590,Vasiliy,Laurillard,1963-09-24,2000-07-13,1999-01-01,Staff
18634,Malu,Lampe,1962-06-25,2000-01-25,1999-01-01,Senior Staff
18759,Keung,Malabarba,1954-11-17,2000-04-28,1999-01-01,Staff
18866,Fumiyo,Hettesheimer,1954-03-10,2000-02-20,1999-01-01,Assistant Engineer
18876,Youssef,Pepe,1961-05-20,2000-02-24,1999-01-01,Assistant Engineer
18941,Billie,Gire,1961-02-10,2000-10-25,1999-01-01,Staff
18944,Sastry,Sgarro,1958-06-08,2000-01-20,1999-01-01,Senior Engineer
19026,Zhongwei,Arlazarov,1964-05-01,2000-01-07,1999-01-01,Staff
19045,Gio,Zaccaria,1964-05-19,2000-12-07,1999-01-01,Senior Engineer
19098,Heng,Hasenauer,1962-11-18,2000-01-28,2001-12-21,Staff
19149,Huican,Krogh,1962-06-02,2000-04-03,1999-01-01,Senior Engineer
19196,Leucio,Sury,1956-08-10,2000-01-28,2000-05-12,Senior Staff
19249,Saniya,Iivonen,1953-08-26,2000-09-13,1999-01-01,Senior Engineer
19280,Kwangjo,dAstous,1959-01-22,2000-08-10,1999-01-01,Engineer
19356,Masato,Prenel,1953-07-01,2000-10-02,1999-01-01,Senior Staff
19423,Yongmao,Remmers,1957-02-25,2000-01-23,2000-10-08,Senior Engineer
19539,Premsyl,Ramsak,1962-04-30,2000-06-04,1999-01-01,Staff
19640,Tonny,Francisci,1953-04-01,2000-12-03,1999-01-01,Engineer
19668,Goa,Kolinko,1952-05-04,2000-11-17,1999-01-01,Staff
19827,Chriss,Bojadziev,1963-02-02,2000-11-18,1999-01-01,Assistant Engineer
19945,Kish,Akiyama,1958-08-23,2000-06-15,1999-01-01,Engineer
19960,Hyuncheol,Khalil,1957-08-18,2000-01-05,1999-01-01,Staff
19963,Luise,Lorys,1963-07-29,2000-01-28,1999-01-01,Engineer
19964,Shrikanth,Wilfing,1961-11-21,2000-01-10,2001-08-11,Technique Leader
20036,Jaber,Katiyar,1963-01-19,2000-08-16,2000-09-11,Engineer
20054,Gurbir,Bail,1958-01-06,2000-01-10,1999-01-01,Senior Engineer
20239,Tua,Heystek,1954-10-08,2000-05-13,1999-01-01,Staff
20406,Keiichiro,Heydon,1959-09-04,2000-03-13,1999-01-01,Senior Staff
20472,Jiann,Murtagh,1957-10-10,2000-07-22,1999-01-01,Engineer
20481,Marsja,Pokrovskii,1961-09-17,2000-11-17,1999-01-01,Engineer
20524,Anneke,Snedden,1955-10-30,2000-01-07,1999-01-01,Senior Staff
20594,Zhongwei,Bazelow,1959-07-08,2000-01-18,2000-06-09,Staff
20721,Tru,Iisaku,1952-05-08,2000-10-10,1999-01-01,Staff
20804,Toshimori,Lunn,1954-03-09,2000-10-09,1999-01-01,Senior Staff
20823,Sham,Impagliazzo,1963-11-04,2000-07-19,1999-01-01,Senior Staff
20862,Moie,Mahmud,1964-04-03,2000-01-07,2001-12-14,Engineer
20993,Atreyi,Rabejac,1961-12-25,2000-09-17,1999-01-01,Assistant Engineer
21068,Kazuhiko,Gargeya,1961-05-13,2000-01-11,2001-10-12,Engineer
21100,Yechezkel,Picaronny,1958-11-09,2000-01-16,1999-01-01,Assistant Engineer
21162,Youjian,Nivat,1953-06-29,2000-01-28,2000-02-05,Engineer
21188,Piyush,Danecki,1965-01-21,2000-01-08,1999-01-01,Engineer
21195,Sadegh,Krider,1964-06-14,2000-01-07,1999-01-01,Staff
21237,Padma,Matzen,1959-05-27,2000-07-09,2000-09-18,Staff
21382,Shuji,Asrin,1964-10-27,2000-04-19,1999-01-01,Engineer
21411,Fox,Pouyioutas,1962-07-24,2000-02-03,1999-01-01,Engineer
21508,Theirry,Poupard,1963-02-27,2000-10-09,1999-01-01,Senior Staff
21517,Etsuo,Jervis,1957-02-04,2000-06-17,2001-10-21,Senior Staff
21555,Uinam,Biron,1953-06-28,2000-02-04,1999-01-01,Senior Engineer
21637,Yefim,Luby,1964-04-28,2000-01-14,1999-01-01,Senior Staff
21842,Ulises,Christianini,1961-09-27,2000-09-01,1999-01-01,Staff
22014,Stamatina,Prampolini,1959-09-03,2000-12-24,1999-01-01,Senior Staff
22016,Divine,Feldhoffer,1957-04-05,2000-01-15,2001-04-28,Staff
22041,Arve,Naudin,1962-12-05,2000-01-16,2001-05-03,Engineer
22049,Ugo,Klerer,1961-08-19,2000-02-16,1999-01-01,Senior Staff
22243,Hidefumi,Neiman,1956-06-06,2000-03-12,1999-01-01,Staff
22252,Patricio,Karner,1963-10-31,2000-06-03,1999-01-01,Staff
22289,Chenye,Verhaegen,1956-05-09,2000-03-02,1999-01-01,Senior Engineer
22346,Jingling,Kragelund,1958-04-08,2000-09-01,1999-01-01,Staff
22505,Moriyoshi,Koblitz,1957-06-13,2000-10-30,1999-01-01,Engineer
22642,Houman,Leonhardt,1959-09-13,2000-02-29,1999-01-01,Engineer
22694,Shuky,Nastansky,1964-02-27,2000-01-21,1999-01-01,Senior Engineer
22830,Hilary,Buchter,1960-07-30,2000-11-20,1999-01-01,Senior Engineer
22886,Gudjon,Templeman,1955-01-02,2000-12-09,1999-01-01,Engineer
23034,Josyula,Rosca,1954-12-28,2000-01-14,2001-04-01,Engineer
23064,Srinidhi,Sadowski,1956-02-11,2000-10-15,1999-01-01,Assistant Engineer
23073,Heng,Giveon,1955-11-18,2000-05-17,1999-01-01,Senior Staff
23146,Collette,Chvatal,1962-10-27,2000-02-05,2001-04-30,Staff
23149,Bernd,Irland,1959-01-18,2000-01-27,1999-01-01,Staff
23184,Barry,Zielinski,1955-02-16,2000-05-23,1999-01-01,Staff
23214,Nikolaos,Suermann,1959-12-06,2000-01-15,1999-01-01,Staff
23232,Sajjad,Sambasivam,1958-11-03,2000-09-04,1999-01-01,Technique Leader
23317,Huican,Worfolk,1952-06-25,2000-08-16,2002-03-19,Staff
23333,Becky,Nicolson,1953-03-30,2000-10-11,1999-01-01,Senior Engineer
23431,Ingemar,Karunanithi,1958-07-17,2000-01-16,1999-01-01,Engineer
23440,Sadun,Hanratty,1964-09-28,2000-06-09,1999-01-01,Technique Leader
23592,Marek,Templeman,1955-03-01,2000-08-08,1999-01-01,Senior Staff
23647,Mads,Bellone,1956-02-21,2000-08-18,1999-01-01,Senior Engineer
23698,Margo,Lambe,1956-01-04,2000-01-30,1999-01-01,Staff
23863,Eben,Keustermans,1964-10-28,2000-01-18,1999-01-01,Engineer
23923,Kiyotoshi,Frolund,1964-05-16,2000-07-31,1999-01-01,Staff
23987,Cristinel,Gladwell,1957-05-23,2000-01-01,1999-01-01,Engineer
24057,Gal,Fasbender,1962-05-18,2000-12-17,1999-01-01,Engineer
24084,Takahira,Engberts,1952-07-22,2000-01-22,1999-01-01,Senior Engineer
24100,Frazer,Billingsley,1963-01-06,2000-01-09,1999-01-01,Assistant Engineer
24208,Barna,Yavatkar,1960-06-03,2000-07-12,1999-01-01,Staff
24369,Yannis,Kugler,1952-02-04,2000-04-15,2001-04-03,Engineer
24442,Arunas,Cesareni,1955-11-29,2000-06-24,1999-01-01,Engineer
24511,Hirochika,Radhakrishnan,1959-04-25,2000-06-28,1999-01-01,Senior Engineer
24533,Shigenori,Erman,1953-11-21,2000-11-01,1999-01-01,Senior Engineer
24658,Vasiliy,Rattan,1963-03-11,2000-04-04,1999-01-01,Senior Staff
24661,Michaela,Chleq,1954-11-03,2000-01-30,2000-05-19,Assistant Engineer
24726,Rance,Blokdijk,1957-05-09,2000-08-25,1999-01-01,Engineer
24803,Kyoichi,Ranta,1957-06-20,2000-08-08,1999-01-01,Senior Engineer
24837,Gopalakrishnan,Percebois,1957-06-19,2000-10-17,1999-01-01,Staff
24948,Khalil,Cooke,1957-05-06,2000-03-12,1999-01-01,Senior Engineer
25017,Chaosheng,Gladwell,1954-05-04,2000-07-20,1999-01-01,Staff
25047,Vatsa,Eldridge,1964-10-03,2000-07-15,1999-01-01,Staff
25075,Lucian,Clemencon,1959-05-29,2000-02-13,1999-01-01,Senior Staff
25114,Kyoichi,Bednarek,1954-11-29,2000-01-29,1999-01-01,Staff
25184,Roselyn,Gente,1957-07-16,2000-08-24,1999-01-01,Staff
25192,Sushant,Welham,1959-10-17,2000-12-21,1999-01-01,Engineer
25249,Xiaocheng,Kitsuregawa,1957-01-22,2000-01-20,2000-10-27,Engineer
25314,Hidekazu,Luit,1954-09-27,2000-07-01,1999-01-01,Engineer
25318,Dante,Christ,1957-01-17,2000-01-31,1999-01-01,Engineer
25391,Hatsukazu,Billawala,1953-05-01,2000-01-28,1999-01-01,Assistant Engineer
25466,Chiranjit,Herber,1964-12-27,2000-01-01,2001-04-23,Staff
25585,Serge,Valette,1956-10-12,2000-01-21,1999-01-01,Staff
25643,Adin,Peak,1952-11-12,2000-09-12,1999-01-01,Staff
25763,Insup,Highland,1962-11-20,2000-02-09,1999-01-01,Engineer
25869,Weiyi,Androutsos,1960-03-23,2000-08-23,1999-01-01,Staff
25889,Nirmal,Bail,1961-11-20,2000-10-21,1999-01-01,Engineer
25917,Golgen,Docker,1955-06-18,2000-11-16,1999-01-01,Engineer
26000,Fuqing,Veeraraghavan,1956-09-28,2000-08-14,1999-01-01,Staff
26046,Sanjiv,Kornatzky,1962-08-18,2000-01-11,1999-01-01,Staff
26165,Heather,Rohrbach,1962-09-10,2000-04-08,1999-01-01,Senior Engineer
26209,Luerbio,Gadepally,1964-08-21,2000-09-13,1999-01-01,Senior Engineer
26283,Abdulla,Feldmann,1955-03-04,2000-07-20,1999-01-01,Senior Engineer
26298,Nevin,Muhling,1960-09-15,2000-01-05,1999-01-01,Staff
26304,Ottavia,Schnelling,1958-02-23,2000-07-21,1999-01-01,Staff
26382,Aloke,Zuberek,1958-05-26,2000-05-14,1999-01-01,Staff
26401,Conal,Rodham,1957-06-13,2000-04-10,2000-08-24,Engineer
26497,Hitofumi,Eppinger,1963-01-24,2000-12-27,1999-01-01,Staff
26525,Siamak,Morris,1959-09-05,2000-01-23,2000-06-05,Staff
26630,Aria,Kowalchuk,1954-03-06,2000-03-20,1999-01-01,Senior Engineer
26649,Debaprosad,Parhami,1962-12-27,2000-01-06,1999-01-01,Senior Engineer
26659,Luigi,Duclos,1960-05-20,2000-12-01,1999-01-01,Engineer
26772,Nigel,Luft,1962-11-26,2000-11-25,1999-01-01,Staff
26820,Jahangir,Randi,1959-08-23,2000-04-10,1999-01-01,Staff
27025,Samphel,Rotem,1958-09-10,2000-01-04,1999-01-01,Engineer
27210,Monique,Honiden,1958-03-24,2000-01-13,1999-01-01,Engineer
27221,Syozo,Rosar,1955-02-12,2000-06-22,1999-01-01,Senior Staff
27229,Przemyslawa,Lundstrom,1957-03-06,2000-05-28,1999-01-01,Engineer
27238,Jiakeng,Feinberg,1954-06-30,2000-03-28,1999-01-01,Engineer
27259,Michaela,Lipner,1952-02-03,2000-01-04,1999-01-01,Staff
27266,Karsten,Fraisse,1961-01-16,2000-05-17,1999-01-01,Technique Leader
27277,Shahaf,Seiwald,1957-07-25,2000-01-14,2001-10-18,Senior Engineer
27308,Uma,Ozeri,1955-02-19,2000-11-08,2000-11-12,Engineer
27410,Dulce,Pauthner,1955-04-22,2000-09-22,1999-01-01,Senior Engineer
27517,Lihong,Iacovou,1963-03-22,2000-05-13,1999-01-01,Staff
27588,Takahira,Anger,1955-07-28,2000-09-22,1999-01-01,Staff
27599,Kensei,Schieder,1959-11-05,2000-01-22,1999-01-01,Senior Staff
27628,Stafford,Blokdijk,1952-09-18,2000-02-01,1999-01-01,Engineer
27785,Feipei,Mukaidono,1952-05-08,2000-11-21,1999-01-01,Staff
27811,Edwin,Broder,1956-01-11,2000-09-23,1999-01-01,Senior Engineer
27893,Moni,Plump,1957-08-05,2000-01-20,2001-06-01,Staff
27968,Harngdar,England,1953-05-19,2000-04-16,1999-01-01,Staff
28024,Berto,Massonet,1953-04-27,2000-01-28,1999-01-01,Staff
28062,Ramalingam,Vidal,1964-08-17,2000-10-26,1999-01-01,Engineer
28094,Padma,Wallrath,1958-10-23,2000-01-02,1999-01-01,Senior Engineer
28148,Muzhong,Fontan,1960-12-10,2000-09-02,1999-01-01,Senior Staff
28290,Hyuncheol,Ashish,1960-12-31,2000-02-05,1999-01-01,Engineer
28413,Nadjib,Brodie,1954-03-22,2000-07-08,1999-01-01,Staff
28459,Armond,Berztiss,1957-02-25,2000-03-17,1999-01-01,Assistant Engineer
28487,Ziva,Alblas,1955-02-07,2000-01-31,2001-04-14,Staff
28500,Fumiko,Zwicker,1954-04-28,2000-01-27,2000-06-12,Staff
28670,Kankanahalli,Teitelbaum,1960-12-19,2000-01-23,1999-01-01,Staff
28682,Martina,Garnier,1962-11-20,2000-01-08,1999-01-01,Staff
28840,Francesca,Lichtman,1964-01-03,2000-01-29,1999-01-01,Engineer
28843,Jaber,Karnin,1960-06-13,2000-02-04,1999-01-01,Engineer
28860,Ioana,Birjandi,1962-08-06,2000-12-31,1999-01-01,Senior Staff
28872,Zhensheng,Miculan,1958-12-11,2000-01-17,1999-01-01,Staff
28887,Atreye,Mellouli,1959-07-20,2000-09-12,1999-01-01,Engineer
28898,Kazuhito,Spell,1957-09-22,2000-09-28,1999-01-01,Senior Engineer
28999,Alassane,Raczkowsky,1963-01-14,2000-03-23,1999-01-01,Engineer
29014,Nahla,Luan,1960-01-21,2000-01-21,1999-01-01,Staff
29134,Premsyl,Murrill,1959-08-05,2000-01-09,2000-09-12,Senior Engineer
29157,Jinxi,Prampolini,1964-02-05,2000-07-13,1999-01-01,Assistant Engineer
29212,Magy,Denis,1961-03-04,2000-08-01,2001-01-07,Engineer
29443,Maya,Lambe,1953-04-25,2000-01-24,1999-01-01,Engineer
29482,Makato,Schiettecatte,1958-06-14,2000-07-31,1999-01-01,Staff
29782,Jouko,Hellwagner,1965-01-29,2000-10-23,1999-01-01,Senior Engineer
29860,Premsyl,Ritcey,1958-07-08,2000-02-09,1999-01-01,Staff
29907,Kokou,Butterworth,1961-11-01,2000-05-11,1999-01-01,Staff
29926,Ung,Marquardt,1957-06-16,2000-09-22,1999-01-01,Engineer
30003,Takahito,Vilarrasa,1952-11-25,2000-11-18,1999-01-01,Senior Staff
30069,Conal,Morris,1957-12-10,2000-05-08,1999-01-01,Engineer
30078,Greger,Thummel,1953-11-28,2000-03-11,1999-01-01,Senior Staff
30130,Vugranam,Antonakopoulos,1960-03-05,2000-07-09,1999-01-01,Staff
30230,Teiji,Stenning,1956-01-22,2000-01-22,1999-01-01,Staff
30238,Jasminko,Braunmuhl,1957-04-28,2000-02-28,1999-01-01,Senior Engineer
30298,Kerryn,Cardazo,1956-09-05,2000-10-14,1999-01-01,Engineer
30333,Feixiong,Chinen,1957-06-03,2000-07-16,1999-01-01,Senior Engineer
30398,Phuoc,Stanger,1956-02-13,2000-08-28,1999-01-01,Staff
30436,Zhenhua,Polupanov,1960-02-03,2000-10-08,1999-01-01,Engineer
30485,Younwoo,Cappelletti,1959-10-07,2000-01-20,1999-01-01,Staff
30498,Heng,Jervis,1954-03-21,2000-10-31,1999-01-01,Engineer
30559,Moss,Neimat,1952-06-08,2000-01-26,1999-01-01,Senior Staff
30564,Ortrud,Kalloufi,1964-03-17,2000-11-07,2000-11-27,Senior Staff
30833,Chaoyi,Cichocki,1955-03-03,2000-05-17,1999-01-01,Engineer
30844,Aran,Kugler,1955-05-03,2000-03-04,2001-08-07,Staff
30881,Eric,Glowinski,1964-10-25,2000-10-19,1999-01-01,Staff
30901,Pramod,Rossi,1963-05-16,2000-11-19,1999-01-01,Engineer
30918,Panayotis,Christ,1962-10-20,2000-01-31,2001-11-12,Staff
30986,Kensei,Matzke,1962-10-20,2000-03-14,1999-01-01,Staff
31017,Geoffry,Kitsuregawa,1952-09-27,2000-09-12,1999-01-01,Staff
31177,Armond,Picci,1957-04-03,2000-08-19,1999-01-01,Engineer
31186,Muneo,Bahr,1960-03-24,2000-11-22,1999-01-01,Staff
